PEID	ROP3	geonameid
6174	101014	1283182
6175	101034	1283454
6176	101059	1283410
6178	101254	1283182
6180	111611	1283710
6181	111662	1283047
6182	111686	1283000
6183	102927	1283710
6184	101831	1283098
6185	102001	1282836
6186	102045	1283098
6187	102052	1282836
6188	102071	1283454
6189	102072	1283710
6192	102093	1283182
6193	102172	1283000
6195	102426	1283606
6196	102443	1283000
6197	102448	1283410
6198	102461	1283098
6201	102575	1283047
6203	102678	1283245
6206	102841	1283410
6207	102848	1283112
6209	102861	1283316
6211	103163	1282865
6212	103169	1282865
6216	103686	1283710
6218	103752	1283710
6221	103914	1283245
6222	104183	1283098
6223	104236	1283000
6224	104283	1283316
6226	104394	1283316
6228	104476	1282836
6230	104788	1283182
6232	104894	1282865
6234	112503	1283000
6235	105092	1282836
6236	105381	1282836
6239	105395	1283112
6242	103317	1283410
6244	105548	1283710
6247	105723	1283047
6248	114165	1283182
6249	114697	1283047
6251	105808	1283454
6252	105824	1283047
6253	105922	1283182
6256	106076	1283316
6259	106861	1283245
6260	106893	1283047
6261	106939	1283182
6263	106997	1282836
6265	107130	1283182
6266	107204	1283410
6267	107216	1283182
6268	107217	1283710
6269	107340	1283454
6270	103318	1283710
6271	112843	1283410
6272	107626	1283182
6273	107674	1283316
6274	107796	1283112
6279	108169	1282836
6280	108182	1283098
6281	108268	1283047
6282	108272	1282797
6285	108317	1283098
6286	108438	1282836
6287	108475	1283047
6288	108585	1283182
6289	108674	1283047
6291	108938	1282836
6292	108940	1282865
6294	109411	1282797
6296	109528	1283000
6297	109614	1283316
6298	109769	1283182
6300	113764	1283454
6301	110002	1283316
6304	110028	1283182
6305	110029	1282836
6306	110033	1283710
6307	110038	1283245
6308	110062	1282836
6309	110209	1283047
6310	110222	1283410
6312	110528	1283316
6314	110781	1283410
6315	110792	1283454
6316	110803	1283710
6317	110935	1283182
6319	110965	1283182
6321	100425	1164807
6322	108394	1167710
6326	100754	1164807
6328	111443	1168878
6331	101132	1168873
6332	101254	1164807
6333	101348	1271686
6335	101653	1183606
6336	102927	1164807
6338	101787	1168878
6340	102411	7053964
6341	102495	1183606
6342	102570	1164807
6343	102667	1269322
6345	102761	1168878
6346	102830	1183606
6348	103165	1168873
6349	104844	1164807
6350	103468	1168873
6352	103544	1164807
6353	112161	1184196
6354	103686	1167710
6357	104396	1168873
6360	112998	1164807
6362	104465	1168873
6363	104479	1168873
6365	104558	1167710
6367	104709	1184196
6368	104939	1167710
6369	104950	1168873
6371	105087	1168873
6372	105116	1168873
6374	105488	1164807
6375	105559	9748001
6377	105663	1183606
6379	106076	1167710
6381	106367	1164807
6386	109494	1167710
6387	107588	1164807
6388	107799	1168873
6389	107898	1164807
6390	107987	1168873
6392	108182	1167710
6393	108183	1184196
6394	108274	1168873
6396	108661	1164807
6398	108948	9748001
6399	108970	1179245
6400	109027	1164807
6401	109469	1183606
6402	109481	1167710
6403	109493	1164807
6405	109509	1167710
6408	110008	1164807
6409	113818	1168873
6410	110306	1168873
6411	110317	1168873
6413	110423	1164807
6415	110451	1168873
6416	110482	1164807
6417	110605	1164807
6418	110670	1183606
6419	110770	1183606
6420	110802	1167710
6421	111144	9747990
6429	100425	1246005
6430	101254	1248990
6431	102927	1248990
6432	113732	1242831
6433	103686	1248990
6434	111732	1250159
6435	106144	1248990
6436	112857	1248990
6438	107901	1248990
6439	108182	1250159
6441	109305	1248990
6443	109930	1248990
6445	110531	1234818
6651	113978	1785694
6652	113981	1785694
6653	100038	1785694
6654	113977	1785694
6655	113979	9748035
6657	100146	1809445
6658	114852	1785694
6660	113984	1785694
6661	113985	1280239
6666	114915	1785694
6669	113998	1785694
6670	113999	1785694
6671	100662	1785694
6672	114001	1785694
6673	100766	1809445
6674	114839	1809867
6675	100776	1785694
6676	114004	1794299
6678	100783	1794299
6680	101024	1809445
6682	101210	1809867
6683	114007	1809445
6684	101217	1785694
6685	114008	1785694
6686	101407	1809935
6690	101500	1785694
6692	114011	2035607
6693	114013	1794299
6694	114014	1810676
6695	114015	1280239
6696	114016	1809445
6698	101701	1785694
6699	104959	1785694
6700	114018	1266519
6701	114019	1809867
6703	101757	1809867
6704	115058	2035607
6706	101816	1785694
6708	114150	1809867
6709	114024	1809445
6710	114025	1785694
6712	108172	1794299
6713	114027	1809445
6715	102331	1809054
6716	114030	2035607
6717	114031	1529047
6718	109011	1785694
6719	114033	1785694
6720	103423	1785694
6721	114035	9747950
6722	114036	8238707
6723	114037	1794299
6724	110266	8238707
6725	114039	1785694
6726	114042	1809445
6727	114043	1809445
6729	114044	1810676
6731	102811	1809867
6732	114049	1785694
6733	114051	1794299
6734	114052	1794299
6736	114054	2035607
6737	114055	1809054
6738	114059	1809445
6739	114057	1785694
6740	114061	1809445
6741	103287	1809445
6742	114063	1785694
6743	114065	1785694
6744	114066	1785694
6745	103323	1809445
6746	114068	1806691
6747	108339	1806691
6750	114072	1809445
6752	103542	1794299
6753	114074	1809445
6754	114077	1809054
6798	114080	1806222
6799	103691	1809935
6800	114082	1818058
6801	114083	1795912
6802	103686	2038349
6803	102138	1811017
6804	114085	1811017
6805	102140	1811017
6806	102143	1796231
6807	114092	1806691
6808	103701	1809935
6979	114087	1811017
7003	114089	1811017
7076	114091	1806691
7184	103712	1785694
7186	107064	2036965
7194	114107	1809445
7196	114109	1809445
7197	114110	1809445
7198	114378	1809445
7199	114111	1785694
7201	106595	1809445
7202	103882	1785694
7206	103896	1799355
7207	114115	1809054
7208	104117	1809867
7212	104189	2036965
7213	114123	1794299
7214	114119	1794299
7216	114125	1809867
7217	104372	1328217
7218	114127	1785694
7219	114128	1785694
7221	110596	1785694
7222	114132	1279685
7223	114133	1785694
7224	114136	1794299
7227	114799	1785694
7228	105005	1809867
7229	114140	1809867
7230	114141	1785694
7233	114143	1785694
7236	105559	1265343
7237	114147	1809445
7238	105576	1785694
7241	114854	1785694
7243	114151	1785694
7244	105606	1785694
7247	105645	1785694
7248	114158	8238707
7249	114159	1785694
7250	114160	1785694
7251	114161	1785694
7252	114162	1307740
7253	114163	1785694
7254	111670	1279685
7255	105744	1279685
7257	114172	1809445
7258	114166	1809054
7259	114167	1809054
7260	114168	1809054
7261	114169	1809054
7262	114170	1809054
7263	114171	1785694
7264	114173	1809054
7265	114175	1785694
7267	105802	1785694
7269	114180	1785694
7270	114823	1785694
7272	114187	1785694
7274	114189	1785694
7275	106218	2036965
7276	106238	1785694
7277	106206	1785694
7278	106290	1809867
7279	106361	1785694
7280	114193	1785694
7281	106596	1809445
7284	114198	1806949
7294	114207	1809445
7300	114213	1785694
7301	114215	1785694
7302	114216	1794299
7303	114217	1785694
7305	114155	1785694
7306	114220	1806691
7307	114939	1809445
7308	102831	1279685
7309	114222	1279685
7310	106758	2035607
7311	114224	2035607
7313	114226	2035607
7314	114227	1794299
7315	115846	1785694
7317	114230	1785694
7318	114231	1806691
7319	114233	1785694
7320	114234	1809867
7321	114218	1794299
7322	114238	1785694
7323	114240	1785694
7324	114241	1794299
7325	114244	1785694
7326	114245	1794299
7329	114380	1785694
7330	114255	1785694
7333	114251	1785694
7334	114254	8238778
7335	114256	1785694
7336	114262	1794299
7337	114265	1785694
7338	114267	1785694
7339	107503	1809445
7341	107515	1809867
7343	114269	2036965
7344	114270	1529047
7345	114271	2035607
7347	107801	1809867
7349	114275	1806691
7350	114277	1785694
7352	114278	1785694
7353	111251	1785694
7354	108170	1785694
7356	113383	1265343
7357	113699	1279685
7358	114282	1809867
7359	114284	1809445
7360	114285	1794299
7361	114286	1794299
7362	114287	1794299
7363	114288	1794299
7364	114289	1794299
7365	114290	1794299
7366	114291	1794299
7367	114292	1794299
7368	113992	1806691
7369	114298	1794299
7373	108371	1785694
7374	108452	1529047
7375	108543	1280239
7376	114302	2036965
7377	108575	1785694
7380	114303	1785694
7381	114304	1785694
7382	108663	1785694
7384	108927	1811017
7386	108956	1794299
7387	114309	1809445
7388	108968	1785694
7390	114310	1280239
7392	109709	1785694
7393	109710	1785694
7394	114183	1785694
7396	109720	1785694
7397	114321	1785694
7398	114325	1785694
7399	109874	1529047
7400	110002	1283710
7402	114327	1810676
7403	110033	1279685
7406	110035	1810676
7407	114331	1279685
7409	114333	1810676
7410	114334	1529047
7411	110227	1280239
7414	114337	1785694
7415	114339	1785694
7417	114340	8238707
7418	114341	1809054
7419	107469	1529047
7420	105018	1809054
7421	110476	1785694
7423	114347	1809445
7425	114349	1806691
7426	114250	1809445
7427	114350	1280239
7428	114351	1809445
7430	114354	1794299
7431	114381	1785694
7432	114355	2036115
7433	114356	1529047
7436	114360	1785694
7437	114361	2035607
7438	114362	1809445
7439	111041	1809867
7445	114365	1785694
7449	114370	1810676
7450	114371	1810676
7451	110204	1785694
7452	114374	1809935
7453	111158	1785694
7454	111173	1794299
7488	101792	2029432
7493	104791	1516278
7494	114225	2031740
7495	107607	1516012
7505	110333	1514967
7510	100294	1668292
7515	114020	9613373
7516	102730	1670479
7517	103691	1671968
7518	103686	1668338
7521	104189	1665148
7525	114225	1668338
7526	105225	9613373
7530	107762	1668292
7533	108214	1668292
7535	108525	1671968
7536	108786	1674502
7538	102140	9613373
7541	109910	1675107
7542	110007	1671564
7543	110033	1668338
7544	110221	9613373
7546	110960	1668292
7549	105225	2036500
7550	100158	7428107
7555	102140	7475135
7556	102143	1848350
7557	103701	1853897
7558	116088	7415819
7559	104189	1863710
7570	116516	1856942
7571	104994	1853737
7572	105225	7391699
7574	107434	7383987
7575	107615	1853737
7576	109465	1853737
7577	101932	1856030
7578	110135	1853737
7579	110913	1848816
7580	111089	1848816
7581	111093	1853737
7583	105225	1871856
7584	103686	1871856
7585	114225	1871856
7587	108452	1871856
7589	103686	1841986
7595	116523	1832426
7605	100006	1697549
7606	100026	1696177
7607	100033	1682811
7608	100055	1732380
7609	100085	1679435
7610	100120	1710515
7611	100130	1696177
7612	100189	1731758
7614	100214	1699586
7616	100263	1679435
7617	100292	1711331
7618	100392	1711331
7622	100585	1715347
7623	100599	1711004
7624	104986	1711331
7625	105240	1685731
7626	108715	7671047
7628	100701	1721086
7629	103353	1715345
7633	100836	1699175
7635	107461	1685370
7636	101018	1691537
7638	101120	1726347
7639	115234	1699586
7641	101469	1723105
7642	101470	1732380
7643	101566	1695357
7645	101676	1696177
7646	101707	1699586
7647	101809	7115730
7648	101858	1730491
7649	101880	1718641
7650	101894	1729926
7655	101914	1721086
7656	101926	1696177
7657	101933	1682671
7659	101936	1679429
7660	101937	1696177
7661	101951	1679428
7662	102231	1719694
7663	102301	1685377
7664	102340	1696177
7665	102477	1715342
7666	102594	1717055
7667	102595	7115731
7668	102632	1729926
7670	102867	1699175
7671	103112	1699175
7672	103114	1697456
7673	102140	11395836
7676	103710	1699586
7677	103767	1731818
7678	103779	1697808
7680	103934	1710515
7684	103997	1711034
7687	103999	1691975
7689	104034	1725582
7690	104037	1732380
7691	104039	1697456
7692	103985	1703701
7693	104059	1699586
7696	104105	1721086
7697	104119	1726302
7698	104124	1725582
7699	100800	1682671
7700	104339	1715345
7701	104395	1696177
7702	104452	1715345
7703	109690	11189141
7704	104458	1696177
7705	109566	7115981
7706	104513	1685214
7708	104586	1725582
7710	104652	1697456
7711	104715	1729926
7712	104783	1697456
7715	105646	1679428
7716	105859	1691537
7717	105884	7115730
7718	105902	7115730
7720	105962	1732380
7721	105998	1699175
7722	106007	1695848
7723	106018	1679435
7725	106017	1685377
7727	106166	1731758
7728	106193	1731819
7730	100129	1731818
7731	103992	1697559
7732	114656	1685377
7733	106279	1715342
7735	106311	1707667
7737	106371	1732380
7738	106374	1700711
7739	106446	1711331
7740	106729	1696177
7745	107437	1721086
7747	107447	7115730
7749	107582	1697559
7750	107779	1696177
7751	107808	1695848
7752	107835	1695357
7753	107839	1685370
7755	107883	1710515
7756	116520	11395838
7757	108126	1717511
7758	108156	7115731
7759	108264	1685214
7760	108352	1692194
7761	108404	1691537
7762	114778	1682671
7763	108642	11189141
7767	108716	11189141
7769	109467	1721086
7772	109483	1732380
7773	109484	7115730
7774	109515	1682671
7776	109522	1696177
7778	109594	1718641
7779	109623	1685214
7780	110036	1685731
7781	109684	1699585
7783	109692	1692194
7789	109891	1685370
7791	110052	1723105
7792	110067	1679435
7793	110084	1703701
7795	110239	1699493
7798	110398	1692194
7799	110413	7115730
7800	110567	1732380
7806	110687	1690649
7808	104587	1699175
7809	110774	1723105
7810	109565	1679429
7811	110805	1699586
7812	110934	1726404
7814	111083	1710515
7815	100025	7839404
7821	100242	7839682
7825	100329	7839403
7826	100354	7839688
7827	100358	7839684
7828	100367	7839685
7830	100425	7839784
7833	100574	7839773
7852	101722	7839750
7855	101767	7839412
7858	102252	\N
7859	102346	2177478
7861	102483	7839403
7863	102536	7839763
7868	102591	7839403
7871	102638	7839403
7874	102642	7839513
7878	102647	7839403
7883	102787	7839759
7889	110769	7839406
7890	102827	7839685
7892	102954	7839700
7894	103021	6619279
7899	103144	7839685
7903	103226	7839408
7907	103305	7839793
7909	103480	7839644
7915	103533	7839573
7916	103532	7839567
7917	103559	7839403
7921	103573	7839412
7924	103575	7839403
7934	103918	7839360
7935	114115	7839788
7936	104096	7839706
7937	104125	7839412
7938	104189	7839788
7940	112316	7839740
7948	105057	7839513
7952	105359	7839513
7960	105428	7839395
7970	105674	7839805
7974	105968	7839805
7977	106144	7839805
7979	106188	7839562
7985	106291	7839562
7998	106413	7839412
8003	106661	7839398
8004	106664	7839857
8009	106924	7839410
8012	107076	7839410
8015	107203	7839399
8018	107234	7839404
8022	107245	7839410
8023	107246	7839500
8035	107449	7839398
8036	102559	7839403
8039	107513	7839408
8041	107542	7839623
8043	107547	7839505
8055	108066	7839647
8056	108096	2152124
8058	108349	7839412
8059	108383	7839403
8061	108398	7839805
8063	108452	7839805
8065	108856	7839707
8066	109354	7839805
8067	109357	2152124
8068	114780	7839661
8069	109989	7839385
8070	101940	7839548
8073	110090	7839409
8075	110176	7839398
8077	113818	7839555
8078	110376	7839810
8087	105018	7839688
8092	110627	7839685
8094	110649	7839513
8101	110675	7839403
8109	110704	7839682
8111	110720	7839858
8112	110743	2152124
8117	110831	7839556
8118	110832	7839556
8127	110864	7839500
8134	110974	7839647
8135	110979	7839408
8141	111069	7839659
8146	111119	7839853
8151	102927	1820818
8183	102183	1821301
8187	105352	1822676
8190	108368	1822449
8191	108586	1822213
8192	108690	1899262
8193	109397	1821301
8194	109552	1830563
8195	109615	1831132
8196	113732	1830103
8197	105018	1821992
8199	110776	1831172
8205	100354	\N
8206	102252	\N
8207	103686	\N
8209	101712	11695389
8210	102284	11695425
8212	107346	11695384
8213	107977	11695388
8214	108282	11695384
8215	100354	2205272
8220	103015	2205272
8221	103016	2194371
8222	103434	2199295
8223	103686	2205272
8224	104381	2194371
8225	105038	2205272
8226	105677	4036132
8227	105839	2204318
8229	107002	2194371
8230	107061	2194371
8234	108182	2194371
8235	108422	6324593
8236	108580	2205272
8237	109388	2205272
8240	110155	2205272
8241	110330	2205272
8243	110645	2205272
8245	103059	4034365
8246	103691	4034365
8247	106245	\N
8249	107409	10295204
8250	108061	4034365
8251	101712	4034365
8252	108304	10295371
8255	109450	10295183
8256	109704	4034365
8257	110229	\N
8259	110240	10295375
9087	103686	7521611
9088	105038	7521611
9089	110330	7521611
9091	100212	1904615
9094	100487	1656538
9095	101500	1653893
9099	114864	1904617
9101	101655	1665045
9109	111234	1665045
9110	103655	1665045
9111	103701	1904618
9113	103712	1653893
9118	104046	1653333
9119	104227	1904615
9120	104229	1665045
9127	104717	1904615
9128	104721	1653315
